# source,"PS5 capture of race session 49, in-game tyre-wear gauge read off the HUD"
# method,"red fill fraction of each of the four HUD bars; +-4% quantisation (bar is ~24 px tall at 720p, yuv420 halves it)"
# car,Lamborghini Huracan GT3 15
# circuit,"Watkins Glen International, Long Course"
# compound,RS
# tyre_wear_mult,2x
# stint1,laps 1-13 (stop during 13)
# stint2,laps 13-20
video_t_s,race_lap,wear_fl,wear_fr,wear_rl,wear_rr
316,2.9421,0.1644,0.1233,0.1712,0.1712
318,2.9613,0.1644,0.1233,0.1712,0.1712
320,2.9805,0.1644,0.0857,0.1712,0.1712
322,2.9997,0.1644,0.0857,0.1712,0.1712
324,3.0189,0.1644,0.0857,0.1712,0.1712
326,3.0381,0.1644,0.0857,0.1712,0.1712
328,3.0572,0.1644,0.0857,0.1712,0.1712
330,3.0764,0.1644,0.0857,0.1712,0.1712
332,3.0956,0.1812,0.1409,0.2282,0.1879
334,3.1147,0.1644,0.1233,0.1712,0.1712
336,3.1339,0.1644,0.0857,0.1712,0.1712
338,3.153,0.1644,0.0857,0.1786,0.1712
340,3.1722,0.1644,0.1579,0.1712,0.1645
342,3.1914,0.1644,0.1579,0.1712,0.1712
344,3.2105,0.1644,0.1579,0.1786,0.1712
346,3.2297,0.1644,0.1579,0.1786,0.1712
348,3.2489,0.1644,0.1579,0.1786,0.1712
350,3.268,0.1644,0.1579,0.1786,0.1712
352,3.2872,0.1644,0.1579,0.1786,0.1712
354,3.3063,0.1644,0.1579,0.1786,0.1712
356,3.3255,0.1644,0.1579,0.1786,0.1712
358,3.3447,0.1644,0.0857,0.1786,0.1712
360,3.3638,0.1644,0.0857,0.1786,0.1712
362,3.383,0.1644,0.0857,0.1786,0.1712
364,3.4022,0.1644,0.1579,0.2434,0.1712
366,3.4213,0.1644,0.1579,0.1786,0.1712
368,3.4405,0.1644,0.1579,0.2434,0.1712
370,3.4597,0.2129,0.1644,0.2434,0.1712
372,3.4788,0.1714,0.1644,0.2434,0.1712
374,3.498,0.1644,0.1579,0.2434,0.1712
376,3.5171,0.1644,0.1579,0.1786,0.1712
378,3.5363,0.1644,0.1644,0.1786,0.1712
380,3.5555,0.1714,0.1644,0.2434,0.1712
382,3.5746,0.1714,0.1644,0.1786,0.1712
384,3.5938,0.1714,0.1579,0.2434,0.1712
386,3.613,0.1714,0.1644,0.2434,0.1712
388,3.6321,0.1714,0.1644,0.2434,0.1712
390,3.6513,0.1714,0.1644,0.2534,0.1712
392,3.6704,0.1714,0.1644,0.2534,0.1712
394,3.6896,0.1714,0.1644,0.2534,0.1712
396,3.7088,0.2055,0.1644,0.2534,0.1712
398,3.7279,0.2055,0.1644,0.2534,0.1712
400,3.7471,0.2055,0.1644,0.2534,0.1712
402,3.7663,0.1714,0.1644,0.2534,0.1712
404,3.7854,0.1714,0.1644,0.2534,0.1712
406,3.8046,0.2055,0.1579,0.2534,0.1712
408,3.8237,0.1714,0.1644,0.2534,0.1712
410,3.8429,0.1714,0.1644,0.2534,0.1712
412,3.8621,0.1714,0.1644,0.2534,0.1712
414,3.8812,0.2055,0.1644,0.2534,0.1712
416,3.9004,0.1714,0.1644,0.2534,0.1786
418,3.9196,0.2368,0.1644,0.2534,0.1712
420,3.9387,0.2368,0.1644,0.2534,0.1712
422,3.9579,0.2368,0.1644,0.2214,0.1712
424,3.9771,0.2368,0.1644,0.2534,0.1786
426,3.9962,0.2368,0.1644,0.2534,0.1786
428,4.0155,0.2368,0.1644,0.2534,0.1786
430,4.0348,0.2368,0.1644,0.2534,0.1786
432,4.0541,0.2368,0.1644,0.2534,0.1786
434,4.0734,0.2368,0.1644,0.2534,0.1712
436,4.0927,0.2368,0.1644,0.2534,0.1712
438,4.112,0.2368,0.1644,0.2214,0.1712
440,4.1313,0.2466,0.1644,0.2534,0.1712
442,4.1506,0.2466,0.1644,0.2534,0.1712
444,4.1699,0.2466,0.1644,0.2534,0.1786
